f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_days_since_host2,n_days_since_host3,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2,flag_days_since_rv,flag_review_scores_rating,flag_reviews_per_month,flag_number_of_reviews,flag_host_response_rate,flag_host_acceptance_rate
apartment,Ward 74,2933,3188,100,96,1,2,1,1,79,96,1,0.81,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,800,412654,Ward 74,apartment,6.684611727667927,1,0,4.382026634673881,8602489,10163344,32400740672,9216,10000,0.6931471805599453,1,0,0,0,0,1,1
apartment,Ward 77,2931,3168,0,11,1,2,2,2,4,100,1,0.04,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1247,443237,Ward 77,apartment,7.1284959456800365,4,0,1.6094379124341003,8590761,10036224,31794757632,121,0,0.6931471805599453,4,0,0,0,0,0,0
apartment,Ward 115,3086,3149,100,100,3,2,1,2,157,97,4,1.53,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1680,473856,Ward 115,apartment,7.426549072397305,4,0,5.062595033026967,9523396,9916201,31226116949,10000,10000,1.3862943611198906,1,0,0,0,0,0,0
apartment,Ward 115,3098,3432,100,100,6,2,1,1,36,90,6,0.35,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,2160,487252,Ward 115,apartment,7.67786350067821,1,0,3.6109179126442243,9597604,11778624,40424237568,10000,10000,1.9459101490553132,1,0,0,0,0,0,0
apartment,Ward 115,2957,3129,97,96,62,4,1,1,4,70,64,0.04,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,2520,511414,Ward 115,apartment,7.832014180505469,1,0,1.6094379124341003,8743849,9790641,30634915689,9216,9409,4.143134726391533,1,0,0,0,0,0,0
apartment,Ward 115,2824,3129,97,96,62,4,1,2,12,87,64,0.13,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,2374,512371,Ward 115,apartment,7.772331575169614,4,0,2.5649493574615367,7974976,9790641,30634915689,9216,9409,4.143134726391533,1,0,0,0,0,0,0
apartment,Ward 115,2965,3378,100,100,3,4,2,2,72,93,3,0.73,2,0,1,0,1,1,1,1,0,0,0,0,1,1,0,2200,516875,Ward 115,apartment,7.696212639346407,4,0.6931471805599453,4.290459441148391,8791225,11410884,38545966152,10000,10000,1.3862943611198906,4,0,0,0,0,0,0
loft,Ward 115,2214,3129,97,96,62,4,2,3,4,85,64,0.05,2,0,1,1,1,1,1,1,0,0,0,0,1,1,0,2987,518545,Ward 115,loft,8.00202481821611,9,0.6931471805599453,1.6094379124341003,4901796,9790641,30634915689,9216,9409,4.143134726391533,4,0,0,0,0,0,0
apartment,Ward 61,735,3125,90,92,2,3,1,1,23,100,2,0.94,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,580,518837,Ward 61,apartment,6.363028103540465,1,0,3.1780538303479458,540225,9765625,30517578125,8464,8100,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 115,2859,3129,97,96,62,4,1,2,9,73,64,0.09,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1837,537809,Ward 115,apartment,7.515889085215125,4,0,2.302585092994046,8173881,9790641,30634915689,9216,9409,4.143134726391533,1,0,0,0,0,0,0
apartment,Ward 23,767,4016,100,50,3,4,2,4,0,97,2,0.54,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1009,553936,Ward 23,apartment,6.9167150203536085,16,1,0,588289,16128256,64771076096,2500,10000,1.3862943611198906,4,1,1,1,1,0,0
apartment,Ward 115,3004,3129,97,96,62,6,2,4,16,80,64,0.16,2,0,1,1,1,1,1,1,0,0,0,0,1,1,0,2987,562793,Ward 115,apartment,8.00202481821611,16,0.6931471805599453,2.833213344056216,9024016,9790641,30634915689,9216,9409,4.143134726391533,4,0,0,0,0,0,0
apartment,Ward 115,2705,3129,97,96,62,2,1,1,8,83,64,0.09,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,979,563282,Ward 115,apartment,6.88653164253051,1,0,2.1972245773362196,7317025,9790641,30634915689,9216,9409,4.143134726391533,1,0,0,0,0,0,0
loft,Ward 115,2899,3095,100,100,1,6,2,3,124,92,1,1.28,2,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1754,576458,Ward 115,loft,7.469654172932128,9,0.6931471805599453,4.8283137373023015,8404201,9579025,29647082375,10000,10000,0.6931471805599453,4,0,0,0,0,1,0
