f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
apartment,Ward 54,354,1835,100,88,14,6,3,3,3,100,15,0.25,3.5,1,1,1,0,1,1,1,1,0,0,0,1,1,0,7000,40665770,Ward 54,apartment
apartment,Ward 115,376,3731,100,92,6,2,1,1,11,100,6,0.88,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1250,40670109,Ward 115,apartment
apartment,Ward 62,321,2845,100,75,1,2,1,1,3,87,1,0.28,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,346,40685020,Ward 62,apartment
apartment,Ward 54,313,382,100,100,0,2,1,1,2,100,1,0.19,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,2150,40686941,Ward 54,apartment
apartment,Ward 77,NA,1856,100,100,1,2,NA,1,0,NA,1,NA,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,800,40687461,Ward 77,apartment
apartment,Ward 55,338,382,100,100,0,2,1,1,6,80,1,0.53,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,2652,40687544,Ward 55,apartment
apartment,Ward 57,377,2664,100,95,25,2,NA,1,8,88,19,0.63,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,550,40689261,Ward 57,apartment
apartment,Ward 115,357,456,NA,100,2,2,NA,1,2,100,2,0.17,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,950,40690063,Ward 115,apartment
serviced_apartment,Ward 57,358,2136,98,78,70,4,2,2,3,93,55,0.25,2,0,1,1,1,1,1,0,1,0,0,0,0,1,0,3411,40690877,Ward 57,serviced_apartment
apartment,Ward 107,360,1782,100,100,9,2,1,1,1,100,7,0.08,3,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1300,40691670,Ward 107,apartment
apartment,Ward 55,369,382,100,67,0,4,2,2,5,92,1,0.41,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,600,40692067,Ward 55,apartment
apartment,Ward 107,357,1914,89,93,4,4,2,2,5,84,3,0.42,2,0,1,1,0,1,1,1,1,0,0,0,1,1,0,550,40693914,Ward 107,apartment
loft,Ward 77,362,1904,57,50,1,2,1,1,4,95,1,0.33,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,961,40696480,Ward 77,loft
apartment,Ward 54,356,1836,100,88,14,6,3,3,7,100,15,0.59,3.5,1,1,1,0,1,1,1,1,0,0,0,1,1,0,7000,40698015,Ward 54,apartment
apartment,Ward 77,364,1952,100,98,0,2,1,1,13,98,1,1.07,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,942,40702095,Ward 77,apartment
apartment,Ward 115,371,2213,NA,0,2,3,NA,1,1,NA,2,0.08,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1450,40703509,Ward 115,apartment
apartment,Ward 73,371,608,0,33,1,4,2,3,3,100,1,0.24,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,800,40704532,Ward 73,apartment
apartment,Ward 77,NA,1885,NA,NA,2,4,2,0,0,NA,2,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1350,40710570,Ward 77,apartment
apartment,Ward 115,373,2093,97,83,22,4,2,2,3,80,15,0.24,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1351,40720146,Ward 115,apartment
apartment,Ward 85,349,407,100,100,0,6,3,3,2,100,1,0.17,2.5,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1652,40720604,Ward 85,apartment
apartment,Ward 55,NA,508,NA,100,3,4,2,2,0,NA,2,NA,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1354,40721916,Ward 55,apartment
apartment,Ward 64,371,381,100,NA,0,6,3,5,1,100,1,0.08,2.5,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1800,40728186,Ward 64,apartment
apartment,Ward 64,NA,381,100,NA,0,6,3,3,0,NA,1,NA,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1500,40737833,Ward 64,apartment
apartment,Ward 107,353,616,NA,NA,2,3,1,2,53,97,1,4.49,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,650,40741278,Ward 107,apartment
serviced_apartment,Ward 54,362,1599,100,100,4,2,1,1,22,97,4,1.82,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,3329,40741780,Ward 54,serviced_apartment
apartment,Ward 115,332,1904,100,100,7,4,2,3,3,87,3,0.27,2,1,1,1,1,1,1,0,1,0,0,0,0,1,0,3286,40741856,Ward 115,apartment
apartment,Ward 54,378,3283,100,0,25,4,2,3,8,98,9,0.63,2,0,1,1,0,1,1,1,0,0,0,0,1,1,0,3303,40742640,Ward 54,apartment
apartment,Ward 107,365,585,0,50,1,4,2,2,2,100,1,0.16,2,0,1,0,0,1,1,1,1,0,0,1,1,1,0,2857,40743011,Ward 107,apartment
apartment,Ward 115,364,405,NA,100,0,2,1,1,3,87,1,0.25,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,750,40743941,Ward 115,apartment
apartment,Ward 64,NA,821,100,100,26,2,1,1,0,NA,26,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1040,40744178,Ward 64,apartment
apartment,Ward 55,357,787,NA,NA,2,4,2,2,1,100,1,0.08,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2200,40748327,Ward 55,apartment
